ref  prn      pid            pname                        id                                               name                                                                      value          ave     cut    psmile                                                                                                                                                                                        
---  -------  -------------  ---------------------------  -----------------------------------------------  ------------------------------------------------------------------------  -------------  ------  -----  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
HT   6579     CHEMBL76       CHLOROQUINE                  CHEMBL76,CHEMBL58510                             CHLOROQUINE,CHLOROQUINE DIPHOSPH                                          0.6704,1.351   0.94    1.45   CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12                                                                                                                                                             
HT   429737   CHEMBL1535     HYDROXYCHLOROQUINE           CHEMBL1690                                       HYDROXYCHLOROQUINE S                                                      1.433,0.5553   0.95    0.98   CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12                                                                                                                                                            
EH   612198   CHEMBL1076347  TRICLOCARBAN                 CHEMBL1076347                                    TRICLOCARBAN                                                              0.4616,101.03  1.525   2.21   O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1                                                                                                                                                           
EH   8167     CHEMBL496      HEXACHLOROPHENE              CHEMBL496                                        HEXACHLOROPHENE                                                           0.5286,92.91   1.61    2.17   Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl                                                                                                                                                   
HT   255477   CHEMBL1294     QUINIDINE                    CHEMBL1435413,CHEMBL1294,CHEMBL1200437           QUINIDINE HYDROCHLOR,QUINIDINE,QUINIDINE GLUCONATE                        1.411,0.3909   2.315   3.51   C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12                                                                                                                                       
HT   1243552  CHEMBL1902981  EPERISONE                    CHEMBL2360601,CHEMBL1902981                      EPERISONE HCL,EPERISONE                                                   1.254,0.4436   2.345   2.71   CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1                                                                                                                                                                
HT   12428    CHEMBL529      AZITHROMYCIN                 CHEMBL529                                        AZITHROMYCIN                                                              1.487,0.3754   2.45    4.31   CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O                 
EH   657667   CHEMBL1183717  ALMITRINE                    CHEMBL1183717,CHEMBL3181957                      ALMITRINE,ALMITRINE DIMESILATE                                            0.7206,71      2.795   5.28   C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1                                                                                                                                     
HT   267163   CHEMBL1323     DARUNAVIR                    CHEMBL1323,CHEMBL1201127                         DARUNAVIR,DARUNAVIR ETHANOLATE                                            1.155,0.38     3.685   3.87   CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1                                                                                                       
EH   75901    CHEMBL888      GEMCITABINE                  CHEMBL888,CHEMBL1637                             GEMCITABINE,GEMCITABINE HYDROCHL                                          101.43,0.2972  4.32    7.87   Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1                                                                                                                                               
EH   923      CHEMBL413      SIROLIMUS                    CHEMBL413                                        RAPAMYCIN                                                                 0.6828,49.65   4.365   8.36   CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
ET   165012   CHEMBL101253   VATALANIB                    CHEMBL101253,CHEMBL75232                         VATALANIB                                                                 0.9984,85.92   4.8     6.14   Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1                                                                                                                                                        
EH   2089491  CHEMBL3813873  PEXIDARTINIB                 CHEMBL3813873                                    PEXIDARTINIB                                                              96.1,0.2913    4.945   8.36   FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1                                                                                                                                           
