prn      pid            ids                                        names                                                                       c
-------  -------------  -----------------------------------------  --------------------------------------------------------------------------  -
111185   CHEMBL1000     CHEMBL1000,CHEMBL1607273                   CETIRIZINE,CETIRIZINE HYDROCHLO,CETIRIZINE DIHYDROCH                        3
111482   CHEMBL1002     CHEMBL1002,CHEMBL1201061                   LEVALBUTEROL,LEVALBUTEROL HYDROCH                                           3
163665   CHEMBL100622   CHEMBL332524,CHEMBL1405927                 HEXAMETHONIUM BROMID,HEXAMETHONIUM DIBROM                                   2
165012   CHEMBL101253   CHEMBL75232,CHEMBL101253                   VATALANIB                                                                   2
118617   CHEMBL1020     CHEMBL1020,CHEMBL1200613,CHEMBL1437585     TOLMETIN,TOLMETIN SODIUM,TOLMETIN SODIUM SALT                               3
122170   CHEMBL1027     CHEMBL1027,CHEMBL1695                      TIAGABINE,TIAGABINE.HCL,TIAGABINE HYDROCHLOR                                3
122901   CHEMBL1029     CHEMBL1029,CHEMBL1329690                   MIGLUSTAT,MIGLUSTAT (N-BUTYLDE                                              2
169111   CHEMBL102970   CHEMBL102970,CHEMBL543846                  PYRIDOXAL                                                                   2
123976   CHEMBL1037     CHEMBL1037,CHEMBL3184143                   GUANADREL,GUANADREL SULFATE                                                 2
139866   CHEMBL1075     CHEMBL1075,CHEMBL1200334                   MORACIZINE,MORICIZINE HYDROCHLO                                             3
611591   CHEMBL1076211  CHEMBL1076211,CHEMBL1395150                TOLPERISONE,TOLPERISONE HYDROCHL                                            3
140107   CHEMBL1077     CHEMBL1077,CHEMBL751                       BROMFENAC,BROMFENAC SODIUM                                                  3
618203   CHEMBL1077896  CHEMBL1077896,CHEMBL1889140                ROPIVACAINE,ROPIVACAINE HCL,ROPIVACAINE HYDROCHL                            3
140117   CHEMBL1079     CHEMBL1079,CHEMBL1200329                   TIZANIDINE,TIZANIDINE HYDROCHLO                                             3
611682   CHEMBL1079787  CHEMBL1079787,CHEMBL1318529                TODRALAZINE,TODRALAZINE HYDROCHL                                            3
143284   CHEMBL1082     CHEMBL2105950,CHEMBL1082                   AMOXICILLIN SODIUM, ,AMOXICILLIN                                            3
147927   CHEMBL1085     CHEMBL1085,CHEMBL2360079                   ACETOPHENAZINE,ACETOPHENAZINE MALEA                                         2
630356   CHEMBL1085699  CHEMBL1085699,CHEMBL2362693                MANIDIPINE,MANIDIPINE HYDROCHLO,MANIDIPINE DIHYDROCH                        3
147981   CHEMBL1087     CHEMBL1087,CHEMBL1200440                   MEPIVACAINE,MEPIVACAINE HYDROCHL                                            2
148004   CHEMBL1088     CHEMBL1088,CHEMBL1201052                   MESORIDAZINE,MESORIDAZINE BESYLAT                                           3
148018   CHEMBL1089     CHEMBL1089,CHEMBL1200895                   PHENELZINE,PHENELZINE SULFATE                                               3
15217    CHEMBL109      CHEMBL2105613,CHEMBL433,CHEMBL109          DIVALPROEX,VALPROATE SODIUM,VALPROIC ACID                                   3
624225   CHEMBL1094636  CHEMBL3989922,CHEMBL1094636                NIRAPARIB (MK-4827) ,NIRAPARIB                                              2
625589   CHEMBL1095777  CHEMBL1095777,CHEMBL1789842                INDACATEROL,INDACATEROL MALEATE                                             2
627070   CHEMBL1096979  CHEMBL1096979,CHEMBL1255778                BENSERAZIDE,BENSERAZIDE HYDROCHL                                            3
150882   CHEMBL1098     CHEMBL1098,CHEMBL1200396                   BUPIVACAINE,BUPIVACAINE HYDROCHL                                            3
605      CHEMBL11       CHEMBL11,CHEMBL1692                        IMIPRAMINE,IMIPRAMINE HYDROCHLO                                             3
151063   CHEMBL1101     CHEMBL1101,CHEMBL1201035                   BIPERIDEN,BIPERIDEN (HYDROCHLO                                              2
151408   CHEMBL1104     CHEMBL1104,CHEMBL1128                      EDROPHONIUM,EDROPHONIUM CHLORIDE                                            3
152728   CHEMBL1107     CHEMBL1107,CHEMBL1200901                   HALOFANTRINE.HCL,HALOFANTRINE HYDROCH                                       2
157330   CHEMBL1115     CHEMBL1115,CHEMBL812,CHEMBL4303667         PYRIDOSTIGMINE,PYRIDOSTIGMINE BROMI,PYRIDOSTIGMINE IODID                    3
161281   CHEMBL1118     CHEMBL1118,CHEMBL1201728                   DESVENLAFAXINE,DESVENLAFAXINE SUCCI                                         2
165774   CHEMBL1123     CHEMBL1123,CHEMBL1200479                   DICYCLOMINE,DICYCLOMINE HYDROCHL                                            3
175331   CHEMBL1139     CHEMBL1139,CHEMBL962                       EPOPROSTENOL,PROSTAGLANDIN I2 SOD                                           2
17169    CHEMBL114      CHEMBL114,CHEMBL282042                     SAQUINAVIR,SAQUINAVIR MESYLATE                                              2
178796   CHEMBL1144     CHEMBL690,CHEMBL1144                       PRAVASTATIN (SODIUM ,PRAVASTATIN SODIUM,PRAVASTATIN                         3
186531   CHEMBL114655   CHEMBL114655,CHEMBL1204337                 NYLIDRIN,NYLIDRIN HYDROCHLORI                                               3
17170    CHEMBL115      CHEMBL115,CHEMBL1735                       INDINAVIR,INDINAVIR SULFATE                                                 4
187515   CHEMBL1159     CHEMBL1159,CHEMBL1200338                   PINACIDIL,PINACIDIL MONOHYDRAT                                              2
641256   CHEMBL1159717  CHEMBL1159717,CHEMBL1256478                TULOBUTEROL,TULOBUTEROL HYDROCHL                                            4
188196   CHEMBL1163     CHEMBL1163,CHEMBL1200678                   ATAZANAVIR,ATAZANAVIR SULFATE                                               2
188707   CHEMBL1165     CHEMBL1165,CHEMBL1200534                   MOEXIPRIL,MOEXIPRIL HYDROCHLOR                                              2
9623     CHEMBL11662    CHEMBL11662,CHEMBL1715705,CHEMBL542549     OZAGREL,OZAGREL HYDROCHLORID                                                3
189099   CHEMBL1167     CHEMBL3989571,CHEMBL3184600                SPECTINOMYCIN HYDROC,SPECTINOMYCIN DIHYDR                                   2
190484   CHEMBL1169     CHEMBL1169,CHEMBL2096646                   4-AMINOSALICYLATE,AMINOSALICYLATE SODI,4-AMINOSALICYLIC ACI                 3
650126   CHEMBL1173655  CHEMBL1173655,CHEMBL2105712                AFATINIB,AFATINIB (DIMALEATE)                                               2
192908   CHEMBL1175     CHEMBL1175,CHEMBL1200328                   DULOXETINE,DULOXETINE HYDROCHLO                                             2
653685   CHEMBL1179735  CHEMBL1179735,CHEMBL97350,CHEMBL1318296    AMPROLIUM,AMPROLIUM HYDROCHLOR                                              3
654106   CHEMBL1180156  CHEMBL1180156,CHEMBL115435                 SUPLATAST (TOSYLATE),SUPLATAST TOSYLATE                                     2
654675   CHEMBL1180725  CHEMBL1180725,CHEMBL1240                   PROPANTHELINE,PROPANTHELINE BROMID                                          3
656160   CHEMBL1182210  CHEMBL1182210,CHEMBL221753                 BENZETHONIUM,BENZETHONIUM CHLORID                                           3
657555   CHEMBL1183605  CHEMBL1183605,CHEMBL307346                 CETRIMONIUM,CETRIMONIUM BROMIDE                                             2
657667   CHEMBL1183717  CHEMBL1183717,CHEMBL3181957                ALMITRINE,ALMITRINE DIMESILATE                                              2
663382   CHEMBL1189432  CHEMBL1189432,CHEMBL1719                   OLOPATADINE,OLOPATADINE HYDROCHL                                            3
663463   CHEMBL1189513  CHEMBL1189513,CHEMBL538843                 FURALTADONE,FURALTADONE HYDROCHL                                            3
668237   CHEMBL1194287  CHEMBL1194287,CHEMBL550011                 CHLOROPYRAMINE,CHLOROPYRAMINE HYDRO                                         3
668275   CHEMBL1194325  CHEMBL1194325,CHEMBL551466                 ACLIDINIUM,ACLIDINIUM BROMIDE                                               3
208978   CHEMBL1195     CHEMBL1195,CHEMBL1769                      PROPOXYCAINE,PROPOXYCAINE HYDROCH                                           2
209162   CHEMBL1197     CHEMBL1197,CHEMBL1200715                   HEXYLCAINE,HEXYLCAINE HYDROCHLO                                             2
671001   CHEMBL1197051  CHEMBL1197051,CHEMBL559180                 ISOXSUPRINE,ISOXSUPRINE HYDROCHL                                            3
209224   CHEMBL1198     CHEMBL1198,CHEMBL1201171                   PRAMOXINE,PRAMOXINE HYDROCHLOR                                              3
673274   CHEMBL1199324  CHEMBL1199324,CHEMBL1201782                FOSAPREPITANT,FOSAPREPITANT DIMEGL                                          2
209594   CHEMBL1200     CHEMBL1200,CHEMBL1200654                   OXYBUPROCAINE,BENOXINATE HYDROCHLO                                          3
675147   CHEMBL1201196  CHEMBL1201196,CHEMBL1200725                SERTACONAZOLE,SERTACONAZOLE NITRAT                                          3
675149   CHEMBL1201198  CHEMBL1201198,CHEMBL1201050                PEMIROLAST,PEMIROLAST (POTASSIU,PEMIROLAST POTASSIUM                        3
675154   CHEMBL1201203  CHEMBL1201203,CHEMBL1200383                BENZTROPINE,BENZTROPINE MESYLATE                                            2
675155   CHEMBL1201204  CHEMBL1201204,CHEMBL1200672                CEFPIRAMIDE,CEFPIRAMIDE (SODIUM)                                            3
675157   CHEMBL1201206  CHEMBL1201206,CHEMBL1200722                PIPECURONIUM                                                                2
675163   CHEMBL1201212  CHEMBL1201212,CHEMBL1200461                MIDODRINE,MIDODRINE HYDROCHLOR                                              2
675164   CHEMBL1201213  CHEMBL1201213,CHEMBL1201153                ISOETHARINE,ISOETHARINE MESYLATE                                            3
675167   CHEMBL1201216  CHEMBL1201216,CHEMBL1201044                DAPIPRAZOLE,DAPIPRAZOLE HYDROCHL                                            2
675170   CHEMBL1201219  CHEMBL1201219,CHEMBL1200629                VECURONIUM,VECURONIUM BROMIDE                                               2
675171   CHEMBL1201220  CHEMBL1201220,CHEMBL3188504                DIATRIZOIC ACID,DIATRIZOIC ACID DIHY                                        2
675180   CHEMBL1201229  CHEMBL1201229,CHEMBL1200514                DEMECARIUM,DEMECARIUM BROMIDE                                               2
675183   CHEMBL1201232  CHEMBL1201232,CHEMBL1200347                ISOPROPAMIDE,ISOPROPAMIDE IODIDE                                            3
675188   CHEMBL1201237  CHEMBL1201237,CHEMBL1201177                LEVOBUNOLOL,(-) LEVOBUNOLOL HYDR                                            3
675194   CHEMBL1201243  CHEMBL1201243,CHEMBL1201033                IOPODIC-ACID                                                                2
675195   CHEMBL1201244  CHEMBL1201244,CHEMBL1200648                ROCURONIUM,ROCURONIUM BROMIDE                                               2
675207   CHEMBL1201256  CHEMBL1201256,CHEMBL1200887                TRIMETHOBENZAMIDE,TRIMETHOBENZAMIDE HY                                      3
675213   CHEMBL1201262  CHEMBL1201262,CHEMBL1200833                DIPIVEFRINE,DIPIVEFRIN HYDROCHLO                                            3
675235   CHEMBL1201284  CHEMBL1201284,CHEMBL1200776                CINACALCET,AMG-073 HCL (CINACAL,CINACALCET HYDROCHLO                        3
675237   CHEMBL1201286  CHEMBL1201286,CHEMBL1200906                OXYPHENONIUM,OXYPHENONIUM BROMIDE                                           2
675239   CHEMBL1201288  CHEMBL1201288,CHEMBL928                    DANTROLENE,DANTROLENE SODIUM SA                                             3
675244   CHEMBL1201293  CHEMBL1201293,CHEMBL2068724                ACAMPROSATE,ACAMPROSATE CALCIUM                                             3
675254   CHEMBL1201303  CHEMBL4303307,CHEMBL1908377                PYRVINIUM,PYRVINIUM PAMOATE                                                 2
675265   CHEMBL1201314  CHEMBL1201314,CHEMBL1200454                VALGANCICLOVIR,VALGANCICLOVIR HYDRO                                         3
675270   CHEMBL1201319  CHEMBL1201319,CHEMBL2062262,CHEMBL4303541  METARAMINOL,METARAMINOL BITARTRA                                            3
